Camname,Camctg,Camlat,Camlon,Camnewadd,Camoldadd,Camtel,Camsite,Campark,Camconv
샘골솔밭야영장,야영장,37.831867,128.477013,강원도 홍천군 내면 광원리 667-12번지,강원도 홍천군 내면 광원리 667-12번지,033-435-8181,16,10,화장실+취사시설+
밤벌오토캠핑장,야영장,37.693315,127.691321,강원도 홍천군 서면 팔봉산로 950,강원도 홍천군 서면 반곡리 3-65번지,033-434-8971,18,10,화장실+취사시설+
리버카라반,야영장,37.674514,127.741448,강원도 홍천군 북방면 노일로 144-8,강원도 홍천군 북방면 노일리 590번지,033-5656-6966,10,10,화장실+취사시설+
노일강 캠핑장,야영장,37.689171,127.731242,강원도 홍천군 북방면 노일리 923-1번지,강원도 홍천군 북방면 노일리 923-1번지,033-432-1335,10,10,화장실+취사시설+
우니메이카,야영장,37.728861,128.239351,강원도 홍천군 서석면 마리소리길 57,강원도 홍천군 서석면 검산리 357번지,033-5852-8918,8,10,화장실+취사시설+
살둔산장,야영장,37.831788,128.369266,강원도 홍천군 내면 율전리 212-10번지,강원도 홍천군 내면 율전리 212-10번지,033-435-5984,10,10,화장실+취사시설+
클럽레스피아,야영장,37.685164,127.728124,강원도 홍천군 북방면 구룡밭길 24-30,강원도 홍천군 북방면 노일리 854-5번지,070-7719-6891,10,10,화장실+취사시설+
파크12,야영장,37.694277,127.601828,강원도 홍천군 서면 모곡리 491-46번지,강원도 홍천군 서면 모곡리 491-46번지,033-4245-6309,10,10,화장실+취사시설+
리버우드 개발,야영장,37.674441,127.743935,강원도 홍천군 북방면 노일로 30-2,강원도 홍천군 북방면 노일리 548번지,033-434-1357,10,10,화장실+취사시설+
하늘바라기 글램핑,야영장,37.803903,128.005601,강원도 홍천군 내촌면 아홉사리로 164-22,강원도 홍천군 내촌면 화상대리 1206번지,033-9913-2400,10,10,화장실+취사시설+
홍천동산펜션오토캠핑장,야영장,37.639977,127.850815,강원도 홍천군 홍천읍 높은터로 332,강원도 홍천군 홍천읍 장전평리 868-3번지,033-3560-7778,10,10,화장실+취사시설+
코코비발디 캠핑장,야영장,37.667107,127.599023,강원도 홍천군 서면 중방대리 419번지,강원도 홍천군 서면 중방대리 419번지,033-434-4455,10,10,화장실+취사시설+
휴양빌리지 가온,야영장,37.666861,127.598423,강원도 홍천군 서면 한서로 1304,강원도 홍천군 서면 중방대리 28번지,033-433-9942,20,20,화장실+취사시설+
해솔캠핑장,야영장,37.808692,128.077239,강원도 홍천군 내촌면 논골길 91,강원도 홍천군 내촌면 답풍리 247-4번지,033-430-2471,12,13,화장실+취사시설+
칡소폭포 캠핑장,야영장,37.823543,128.454116,강원도 홍천군 내면 을수길 27,강원도 홍천군 내면 광원리 551-5번지,033-435-0303,10,10,화장실+취사시설+
휘게리 잣나무숲 캠핑장,야영장,37.73925,128.088187,강원도 홍천군 화촌면 장평리 산 88-3번지,강원도 홍천군 화촌면 장평리 산 88-3번지,1644-9565,6,10,화장실+취사시설+
체리블라썸야영장,야영장,37.756593,128.174683,강원도 홍천군 서석면 수하리 1102-3번지,강원도 홍천군 서석면 수하리 1102-3번지,033-430-2471,6,10,화장실+취사시설+
늘편한관광농원 야영장,야영장,37.863837,128.106176,강원도 홍천군 두촌면 협성길 44-45,강원도 홍천군 두촌면 괘석리 421-1번지,033-432-3005,13,15,화장실+취사시설+
보또피아힐링파크,야영장,37.688639,127.641937,강원도 홍천군 서면 개야로548번길 25-8,강원도 홍천군 서면 두미리 785-20번지,02-553-7090,10,10,화장실+취사시설+
용오름캠핑장,야영장,37.721095,128.236062,강원도 홍천군 서석면 검산길 263,강원도 홍천군 서석면 검산리 326-1번지,033-436-0732,24,30,화장실+취사시설+
검산별빛야영장,야영장,37.738196,128.238297,강원도 홍천군 서석면 마리소리길 120,강원도 홍천군 서석면 검산리 135-1번지,000-000-0000,15,20,화장실+취사시설+
가람리조트,야영장,37.836581,128.018444,"강원도 홍천군 두촌면 부채들길 29, 가람밸리리조트",강원도 홍천군 두촌면 철정리 34-5번지 가람밸리리조트,033-434-1080,21,21,화장실+취사시설+
홍천 무네미 별마루 관광농원,야영장,37.804408,128.224993,강원도 홍천군 내면 수유동길 635,강원도 홍천군 내면 방내리 산 1289-5번지,000-0000-0000,4,10,화장실+취사시설+
J캠핑장,야영장,37.78974,128.430687,강원도 홍천군 내면 소한동길 301,강원도 홍천군 내면 창촌리 786번지,033-433-8529,17,30,화장실+취사시설+
개똥이네켐핑장,야영장,37.720089,127.760676,강원도 홍천군 북방면 원소길 25,강원도 홍천군 북방면 원소리 35번지,000-0000-0000,10,16,화장실+취사시설+
몬테리오,야영장,37.728857,127.579551,강원도 홍천군 서면 마곡길 220,강원도 홍천군 서면 마곡리 121-1번지,033-436-1001,17,20,화장실+취사시설+
홍천강 오토캠핑장,자동차야영장,37.690429,127.787102,강원도 홍천군 북방면 굴지강변로 322,강원도 홍천군 북방면 장항리 200-1번지,033-430-2498,10,10,화장실+취사시설+
비발디 캠핑파크,자동차야영장,37.664036,127.612265,강원도 홍천군 서면 한서로 1045-29,강원도 홍천군 서면 모곡리 99-8번지,033-5203-3593,57,10,화장실+취사시설+
달콤한 캠핑장,자동차야영장,37.792586,128.125109,강원도 홍천군 내촌면 비선동길 121-29,강원도 홍천군 내촌면 와야리 805-3번지,033-6263-8463,40,10,화장실+취사시설+
(주)쉐르빌 내추럴 발란스,야영장,37.701965,127.596358,강원도 홍천군 서면 밤벌길19번길 111,강원도 홍천군 서면 모곡리 547번지,033-435-1199,10,10,화장실+취사시설+
오고집 글램핑,자동차야영장,37.761877,128.048289,강원도 홍천군 화촌면 노루터길 135,강원도 홍천군 화촌면 장평리 1131번지,033-433-7005,10,10,화장실+취사시설+
고인돌 오토캠핑장,자동차야영장,37.752501,128.000935,강원도 홍천군 화촌면 구룡령로 578-10,강원도 홍천군 화촌면 군업리 827-2번지,033-432-3473,10,10,화장실+취사시설+
홍천와캠핑,자동차야영장,37.800936,128.030734,강원도 홍천군 내촌면 쌍둔지길 157-7,강원도 홍천군 내촌면 화상대리 1055-3번지,033-430-2471,25,27,화장실+취사시설+
공작산계곡 오토캠핑장,자동차야영장,37.713171,128.038789,강원도 홍천군 화촌면 당무로 545,강원도 홍천군 화촌면 군업리 산 1244번지,033-433-2227,10,10,화장실+취사시설+
아늑한쉼터,야영장,37.575936,128.044803,강원도 횡성군 갑천면 어답산로 162-33,강원도 횡성군 갑천면 전촌리 368,000-000-0000,20,,"화장실, 샤워실, 개수대"
횡성군 병지방 오토캠핑장,야영장,37.593672,128.057416,강원도 횡성군 갑천면 어답산로 516,강원도 횡성군 갑천면 병지방리 540-4,000-000-0000,119,,"화장실, 샤워실, 개수대, 물놀이시설"
THATS CAMPING 횡성자연휴양림야영장,야영장,37.5388008,128.112613,강원도 횡성군 갑천면 정포로430번길 113,강원도 횡성군 갑천면 포동리 산40-2,033-344-3391,33,,"화장실, 샤워실, 개수대"
횡성 별빛마을 캠핑장,야영장,37.349469,128.157989,강원도 횡성군 강림면 주천강로 488,강원도 횡성군 강림면 월현리 1316-1,033-342-4586,20,,"화장실, 샤워실, 개수대"
포시즌파크,야영장,37.344702,128.156728,강원도 횡성군 강림면 주천강로월현3길 157-78,강원도 횡성군 강림면 주천강로월현3길 157-78,000-000-0000,21,,"화장실, 샤워실, 개수대"
솔밭체육공원 오토캠핑장,야영장,37.56159,127.955012,강원도 횡성군 공근면 도곡로14번길 59-1,강원도 횡성군 공근면 도곡리 106-2,000-000-0000,14,,"화장실, 샤워실, 개수대, 수영장"
주천강자연휴양림,야영장,37.460649,128.203671,강원도 횡성군 둔내면 강변로영랑6길 115,강원도 횡성군 둔내면 영랑리 산10-1,033-345-7575,35,,"화장실, 샤워실, 개수대"
올챙이캠핑장,야영장,37.5091275,128.144021,강원도 횡성군 둔내면 경강로궁종1길 121-7,강원도 횡성군 둔내면 궁종리 75-1,033-344-4411,15,,"화장실, 샤워실, 개수대"
웰리힐리파크 오토캠핑장,야영장,37.491028,128.24782,강원도 횡성군 둔내면 고원로 451-1,강원도 횡성군 둔내면 두원리 204,033-340-3414,30,,"화장실, 샤워실, 개수대"
둔내캠프,야영장,37.535258,128.254922,강원도 횡성군 둔내면 용현로 431,강원도 횡성군 둔내면 삽교리 1544-1,000-000-0000,17,,"화장실, 샤워실, 개수대"
두멍소관광농원,야영장,37.533286,128.242724,강원도 횡성군 둔내면 용현로 303,강원도 횡성군 둔내면 삽교리 1719,000-000-0000,16,,"화장실, 샤워실, 개수대"
국립자연휴양림관리소(동부지역팀 청태산자연휴양림),야영장,37.522888,128.290678,강원도 횡성군 둔내면 청태산로 610,강원도 횡성군 둔내면 삽교리 산1-4,033-343-9707,30,,"화장실, 샤워실, 개수대"
라라솔캠핑장,야영장,37.523348,127.867079,강원도 횡성군 서원면 경강로 646-30,강원도 횡성군 서원면 유현리 431,033-345-2775,45,,"화장실, 샤워실, 개수대"
힐링스토리,야영장,37.512096,127.904597,강원도 횡성군 서원면 금대1길 46-35,강원도 횡성군 서원면 금대리 261-3,000-000-0000,15,,"화장실, 샤워실, 개수대"
클럽프리모,야영장,37.490166,127.785265,강원도 횡성군 서원면 양서북로 1010,강원도 횡성군 서원면 석화리 851,000-000-0000,5,,"화장실, 샤워실, 개수대, 수영장"
횡성초보캠핑장,야영장,37.477502,127.898098,강원도 횡성군 서원면 취석2길 187,강원도 횡성군 서원면 압곡리 298-68,000-000-0000,32,,"화장실, 샤워실, 개수대"
동그라미캠핑장,야영장,37.438224,128.142415,강원도 횡성군 안흥면 송한리 103-2번지,강원도 횡성군 안흥면 송한리 103-2번지,000-000-0000,15,,"화장실, 샤워실, 개수대"
매화오토캠핑장,야영장,37.412204,128.13144,강원도 횡성군 안흥면 전재로 808-17,강원도 횡성군 안흥면 안흥리 909,000-000-0000,40,,"화장실, 샤워실, 개수대"
벳소캠프,야영장,37.431987,128.106183,강원도 횡성군 우천면 전재호수길 66,강원도 횡성군 우천면 오원리 357,000-000-0000,4,,"화장실, 샤워실, 개수대"
고라데이마을,야영장,37.64859,128.139622,강원도 횡성군 청일면 봉명로 375-1,강원도 횡성군 청일면 봉명리 61,000-000-0000,10,,"화장실, 샤워실, 개수대"
모야의숲 캠핑장,야영장,37.581487,128.188656,강원도 횡성군 청일면 청일로 986,강원도 횡성군 청일면 신대리 115-7,000-000-0000,33,,"화장실, 샤워실, 개수대"
신대리야영장,야영장,37.587159,128.205526,강원도 횡성군 청일면 청일로737번길 10,강원도 횡성군 청일면 신대리 454,000-000-0000,18,,"화장실, 샤워실, 개수대"
써니힐글램핑,야영장,37.508782,128.123367,강원도 횡성군 우천면 경강로 3487-22,강원도 횡성군 우천면 하궁리 843-1,000-000-0000,10,,"화장실, 샤워실, 개수대"
횡성 산울림오토캠핑장,자동차야영장,37.600355,128.22302,강원도 횡성군 청일면 청일로895번길 127,강원도 횡성군 청일면 신대리 178-3,000-000-0000,10,,"화장실, 샤워실, 개수대"
당평오토캠핑장,야영장,37.566529,128.040106,강원도 횡성군 외갑천로 301,강원도 횡성군 갑천면 추동리 70-14,000-000-0000,10,,"화장실, 샤워실, 개수대"
태기산 아름채 관광농원,야영장,37.590026,128.234108,강원도 횡성군 청일면 청일로 1030,강원도 횡성군 청일면 신대리 122,000-000-0000,7,,"화장실, 샤워실, 개수대"
청일관광농원,야영장,37.64059,128.158666,강원도 횡성군 청일면 속실길 20,강원도 횡성군 청일면 속실리 518-1,000-000-0000,13,,"화장실, 샤워실, 개수대"
횡성 온새미로 캠핑장,야영장,37.670285,128.124932,강원도 횡성군 청일면 봉명로593번길 76-11,강원도 횡성군 청일면 봉명리 163-2,000-000-0000,18,,"화장실, 샤워실, 개수대, 수영장"
동당미 계곡 캠핑장,야영장,37.480176,127.886596,강원도 횡성군 서원면 압곡로 203,강원도 횡성군 서원면 압곡리 298-31,000-000-0000,13,,"화장실, 샤워실, 개수대"
힐링별밤수목원 야영장,야영장,37.749712,127.273665,경기도 남양주시 수동면 비룡로 1516-19,경기도 남양주시 수동면 내방리 236-1,031-592-1109,13,30,-
축령산 자연휴양림,야영장,37.755003,127.313194,경기도 남양주시 수동면 축령산로 299,경기도 남양주시 수동면 외방리 280,031-8008-6692,30,,-
가족쉼터,야영장,37.755151,127.272032,경기도 남양주시 -,경기도 남양주시 수동면 수산리 591-2번지,031-590-4597,30,30,-
수산아카데미,야영장,37.719058,127.264884,경기도 남양주시 수동면 철마산로 316-31,경기도 남양주시 수동면 수산리 369-2번지,031-592-6827,21,21,-
구암농원,자동차야영장,37.674053,127.375028,경기도 남양주시 -,경기도 남양주시 화도읍 구암리 8-2번지,031-559-7488,15,15,-
스카이 글램핑,야영장,37.726801,127.296765,경기도 남양주시 수동면 지둔로445번안길 10-6,경기도 남양주시 수동면 지둔리 246번지,031-000-0000,9,9,-
로코코 캠핑장,야영장,37.715222,127.299958,경기도 남양주시 수동면 지둔로 358-4,경기도 남양주시 수동면 지둔리 366-2번지,031-000-0000,20,20,-
에이제이 오토 캠핑장,야영장,37.717859,127.296981,경기도 남양주시 -,경기도 남양주시 수동면 지둔리 330-10번지,031-000-0000,36,36,-
남양주 휴림 캠핑장,야영장,37.715223,127.299959,경기도 남양주시 -,경기도 남양주시 수동면 지둔리 369-12번지,031-000-0000,25,25,-
산여울 캠핑장,야영장,37.767016,127.283606,경기도 남양주시 수동면 비룡로1742번길 3-24,경기도 남양주시 수동면 내방리 335-6번지,031-000-0000,28,28,-
햇살가득 캠핑장,야영장,37.764961,127.291615,경기도 남양주시 수동면 비룡로1742번길 36-104,경기도 남양주시 수동면 내방리 368-5번지,031-000-0000,8,8,-
북한강뷰 캐라반파크,자동차야영장,37.646821,127.365522,경기도 남양주시 -,경기도 남양주시 화도읍 금남리 171-13번지,031-000-0000,6,6,-
시흥갯골캠핑장,야영장,37.389615,126.762723,경기도 시흥시 동서로 137-71,경기도 시흥시 월곶로 520-240,031-488-6998,42,300,화장실+음수대+샤워실
병목안캠핑장,야영장,37.38265998,126.9103876,경기도 안양시 만안구 병목안로247번길 37,경기도 안양시 만안구 안양9동 1108-6,031-469-8642,50,50,화장실+샤워장+취사장+쓰레기분리수거장+개수대(3개소)
한터팜오토캠핑장,자동차야영장,37.2606,127.2526,경기도 용인시 처인구 양지면 한터로 432-12,경기도 용인시 처인구 양지면 대대리 299-1번지,000-0000-0000,30,,전기시설+하수도시설+개수대
팡팡캠핑장,야영장,37.1817,127.2914,경기도 용인시 처인구 원삼면 동부로 1041,경기도 용인시 처인구 원삼면 사암리 1024-31번지,000-0000-0000,28,,전기시설+하수도시설+개수대
양달캠핑장,야영장,37.1493,127.2867,경기도 용인시 처인구 원삼면 학일로 100-2,경기도 용인시 처인구 원삼면 학일리 368-2번지,031-334-4567,30,,전기시설+하수도시설+개수대
싱글벙글캠핑장,야영장,37.2121,127.1586,경기도 용인시 처인구 이동면 상덕로 95-62,경기도 용인시 처인구 이동면 서리 855-1번지,000-0000-0000,13,,전기시설+하수도시설+개수대
단풍숲캠핑장,야영장,37.1241,127.3139,경기도 용인시 처인구 원삼면 보개원삼로1462번길 14-22,경기도 용인시 처인구 원삼면 목신리 258-48번지,000-0000-0000,13,,전기시설+하수도시설+개수대
용인자연휴양림,야영장,37.3153,127.2719,경기도 용인시 처인구 모현면 초부로 220,경기도 용인시 처인구 모현면 초부리 산21-4번지,031-336-0040,25,,하수도시설+전기시설+개수대+샤워실
문수산캠핑장,야영장,37.1622,127.2529,경기도 용인시 처인구 이동면 이원로 637-1,경기도 용인시 처인구 이동면 묵리 205번지,000-0000-0000,19,,하수도시설+전기시설+개수대
우리꽃캠핑장,야영장,37.2961,127.0938,경기도 용인시 기흥구 신정로301번길 65,경기도 용인시 기흥구 보정동 1056번지,000-0000-0000,10,,하수도시설+전기시설+개수대
우리들캠핑장,야영장,37.2068,127.3104,경기도 용인시 처인구 원삼면 좌항리 224-4번지,경기도 용인시 처인구 원삼면 좌항리 224-4번지,000-0000-0000,13,,하수도시설+전기시설+개수대
숲속에 안뜰,야영장,37.1829,127.3081,경기도 용인시 처인구 원삼면 원양로 250-23,경기도 용인시 처인구 원삼면 사암리 82-1번지,000-0000-0000,8,,하수도시설+전기시설+개수대
숲속향기캠핑장,야영장,37.2507,127.2607,경기도 용인시 처인구 양지면 주북로235번길 56,경기도 용인시 처인구 양지면 주북리 318-1번지,000-0000-0000,4,,하수도시설+전기시설+개수대
구봉산오토캠핑장 나인힐스,야영장,37.1177,127.3132,경기도 용인시 처인구 원삼면 보개원삼로1372번길 41,경기도 용인시 처인구 원삼면 목신리 83-61번지,000-0000-0000,50,,하수도시설+전기시설+개수대
캐리비안캠프,야영장,37.2844,127.2092,경기도 용인시 처인구 포곡읍 마성로 356,경기도 용인시 처인구 포곡읍 전대리 457-3번지,000-0000-0000,13,,하수도시설+전기시설+취사시설
용인힐링캠핑장,야영장,37.1187,127.3081,경기도 용인시 처인구 원삼면 보개원삼로 1361,경기도 용인시 처인구 원삼면 목신리 169-1번지,000-0000-0000,20,,하수도시설+전기시설+개수대
용인랜드 숲속캠핑장,야영장,37.2587,127.2582,경기도 용인시 처인구 양지면 한터로454번길 33-17,경기도 용인시 처인구 양지면 대대리 292번지,031-336-3838,20,,하수도시설+전기시설+개수대
제일관광캠핑장,자동차야영장,37.1596,127.2951,경기도 용인시 처인구 원삼면 문촌로 174,경기도 용인시 처인구 원삼면 문촌리 241-1번지,000-0000-0000,5,,전기시설+하수도시설+개수대
용인블루캠핑장,야영장,37.1342,127.31,경기도 용인시 처인구 원삼면 보개원삼로 1564-1,경기도 용인시 처인구 원삼면 목신리 416-1번지,000-0000-0000,15,,하수도시설+전기시설+개수대+샤워실
다누리골테마파크,야영장,37.1293,127.2435,경기도 용인시 처인구 이동면 묘봉로277번길41,경기도 용인시 처인구 이동면 묘봉리 77-4번지,031-307-2537,25,,하수도시설+전기시설+개수대+샤워실
골드글램핑,야영장,37.2201,127.1382,경기도 용인시 기흥구 기흥단지로 406,경기도 용인시 기흥구 고매동 5-73번지 골드훼미리콘도,031-286-9111,23,,하수도시설+전기시설+개수대+샤워실
힐포인트,야영장,37.3514,127.0529,경기도 용인시 수지구 동천로 541,경기도 용인시 수지구 고기동 346-1번지,000-0000-0000,16,,하수도시설+전기시설+개수대+샤워실
송원글램핑파크,야영장,37.1074,127.1438,경기도 용인시 처인구 남사면 전궁로95번길 93,경기도 용인시 처인구 남사면 봉무리 678-8번지,000-0000-0000,43,,하수도시설+전기시설+개수대+샤워실
양지파인글램핑,야영장,37.2142,127.29,경기도 용인시 처인구 양지면 남평로 112,경기도 용인시 처인구 양지면 남곡리 34-1번지,031-932-8188,15,,하수도시설+전기시설+개수대+샤워실
씨밀레자연관광농원,야영장,37.1631,127.249,경기도 용인시 처인구 이동면 이원로601번길 1-7,경기도 용인시 처인구 이동면 묵리 382-4번지,000-0000-0000,15,,하수도시설+전기시설+개수대+샤워실
마운틴캠핑장,야영장,37.1351,127.3285,경기도 용인시 처인구 원삼면 후평로185번길 50,경기도 용인시 처인구 원삼면 죽능리 26-34번지,000-0000-0000,26,,하수도시설+전기시설+개수대+샤워실
카라반베이캠핑장,야영장,37.2847,127.2192,경기도 용인시 처인구 포곡읍 전대로 62,경기도 용인시 처인구 포곡읍 전대리 192-2번지,031-323-5511,25,,하수도시설+전기시설+개수대
꽃주렁 나무주렁 캠핑장,야영장,37.1143,127.2095,경기도 용인시 처인구 이동면 경기동로1024번길 40,경기도 용인시 처인구 이동면 어비리 205번지,000-0000-0000,18,,하수도시설+전기시설+개수대
정광산 관광농원,야영장,37.3152,127.265,경기도 용인시 처인구 모현면 초부로 215-5,경기도 용인시 처인구 모현면 초부리 310-14번지,031-333-1222,10,,하수도시설+전기시설+개수대+샤워실
대장금파크캠핑장,야영장,37.12,127.3401,경기도 용인시 처인구 백암면 용천드라마길 25-10,경기도 용인시 처인구 백암면 용천리 781번지,031-338-4266,25,,하수도시설+전기시설+개수대
장수자연관광농원,야영장,37.1244,127.3142,경기도 용인시 처인구 원삼면 목신리 258-14번지,경기도 용인시 처인구 원삼면 목신리 258-14번지,031-334-4567,13,,전기시설+하수도시설+개수대
용인 미르힐,야영장,37.3154,127.2652,경기도 용인시 처인구 모현면 초부로 215-7,경기도 용인시 처인구 모현면 초부리 310번지,031-333-1222,8,,하수도시설+전기시설+개수대
에이스카라반,야영장,37.1649,127.2437,경기도 용인시 처인구 이동면 이원로 547,경기도 용인시 처인구 이동면 묵리 416-18번지,031-322-4221,7,,하수도시설+전기시설+개수대
용인반딧불캠핑장,야영장,37.131,127.2957,경기도 용인시 처인구 원삼면 보개원삼로1517번길 153,경기도 용인시 처인구 원삼면 목신리 866-1번지,000-0000-0000,11,,하수도시설+전기시설+개수대
봉봉캠핑장,야영장,37.2071,127.1694,경기도 용인시 처인구 이동면 백자로184번길 17,경기도 용인시 처인구 이동면 서리 560번지,000-0000-0000,20,,하수도시설+전기시설+개수대+샤워실
산수골캠핑장,야영장,37.1944,127.2166,경기도 용인시 처인구 이동면 원천로41번길 81,경기도 용인시 처인구 이동면 천리 345-1번지,000-0000-0000,9,,하수도시설+전기시설+개수대
별아래캠핑장,야영장,37.256,127.276,경기도 용인시 처인구 양지면 한터로662번길 34-34,경기도 용인시 처인구 양지면 대대리 650번지,031-332-5501,15,,하수도시설+전기시설+개수대
연미향마을캠핑장,야영장,37.1561,127.3313,경기도 용인시 처인구 원삼면 백원로 128-7,경기도 용인시 처인구 원삼면 독성리 23-3번지,000-0000-0000,25,,하수도시설+전기시설+개수대+샤워실
EBS골드캠핑장,야영장,37.2194,127.1345,경기도 용인시 기흥구 기흥단지로 397,경기도 용인시 기흥구 고매동 33번지,031-274-6527,25,,하수도시설+전기시설+개수대
캠프레이크,야영장,37.2275,127.0999,경기도 용인시 기흥구 동탄기흥로785번길 21-5,경기도 용인시 기흥구 고매동 539-1번지,000-0000-0000,14,,하수도시설+전기시설+개수대+샤워실
소풍캠핑장,야영장,37.1336,127.2065,경기도 용인시 처인구 이동읍 경기동로785번길 30,경기도 용인시 이동읍 송전리 218-1번지,000-0000-0000,65,,하수도시설+전기시설+개수대+샤워실
철이네 캠핑랜드,야영장,37.1235,127.3519,경기도 용인시 처인구 백암면 용천로 205,경기도 용인시 처인구 백암면 용천리 627-15번지,000-0000-0000,15,,하수도시설+전기시설+개수대+샤워실
용인밤골캠핑장,야영장,37.1871,127.3349,경기도 용인시 처인구 원삼면 죽양대로1650번길 2-43,경기도 용인시 처인구 원삼면 맹리 695-12번지,000-0000-0000,34,,하수도시설+전기시설+개수대+샤워실
서울YMCA다락원캠프장,자동차야영장,37.6963545,127.0411835,"경기도 의정부시 평화로49번길 63(호원동, 서울YMCA다락원캠프장)",경기도 의정부시 호원동 산119-6번지 서울YMCA다락원캠프장,031-873-5624,20,,음수대
수락 캠핑장,야영장,37.71351389,127.1003953,경기도 의정부시 송산로 971번길 99-4(산곡동),경기도 의정부시 산곡동 603번지,070-4189-2787,6,,샤워장+개수대+화장실+매점
도봉야영장,야영장,37.73936016,127.0730684,경기도 의정부시 창포원로 81(호원동),경기도 의정부시 호원동 163번지,000-0000-0000,18,,음수대
